date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:55:56	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Mar%202021%2018:55:55%20GMT	http://192.168.0.92/robots.txt		(from )
19:55:56	45027/45027	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:55:55%20GMT	http://192.168.0.92/	D:/proretia.it_static/proretia.it/192.168.0.92/index.html	(from )
19:55:56	5842/5842	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:55:56%20GMT	http://gmpg.org/xfn/11	D:/proretia.it_static/proretia.it/gmpg.org/xfn/11.html	(from http://192.168.0.92/)
19:55:57	25/25	---M--	200	added ('OK')	text/plain	etag:%227f564a4-19-3ef0a6a1b08c0%22	http://gmpg.org/robots.txt		(from http://192.168.0.92/)
19:55:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2018:55:56%20GMT	http://s.w.org/	D:/proretia.it_static/proretia.it/s.w.org/index.html	(from http://192.168.0.92/)
19:55:57	1703/1703	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%22d7317333c258c08177750245a280b6b8-gzip%22	http://192.168.0.92/index.php/feed/	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/feed/index.html	(from http://192.168.0.92/)
19:55:57	1588/1588	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Mar%202021%2018:55:56%20GMT	http://fonts.googleapis.com/	D:/proretia.it_static/proretia.it/fonts.googleapis.com/index.html	(from http://192.168.0.92/)
19:55:57	2067/2067	---M-Z	200	added ('OK')	text/css	etag:%2264e18331-813-3ef0a663b3680-gzip%22	http://gmpg.org/xfn/default.css	D:/proretia.it_static/proretia.it/gmpg.org/xfn/default.css	(from http://gmpg.org/xfn/11)
19:55:57	1658/1658	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%2264b7178497d80dd2ff283518a50debc2-gzip%22	http://192.168.0.92/index.php/comments/feed/	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/comments/feed/index.html	(from http://192.168.0.92/)
19:55:57	4170/4170	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:55:57%20GMT	http://gmpg.org/xfn/.	D:/proretia.it_static/proretia.it/gmpg.org/xfn/.html	(from http://gmpg.org/xfn/11)
