date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:36	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Mar%202021%2018:47:35%20GMT	http://192.168.0.92/robots.txt		(from )
19:47:36	45027/45027	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2018:47:36%20GMT	http://192.168.0.92/	D:/proretia.it_static/proretia.it/192.168.0.92/index.html	(from )
19:47:36	58200/58200	---M-Z	200	added ('OK')	text/css	etag:%22e358-5bd96fe559319-gzip%22	http://192.168.0.92/wp-includes/css/dist/block-library/style.min.css?ver=5.7	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/css/dist/block-library/style.mine23c.css	(from http://192.168.0.92/)
19:47:37	161220/161220	---M-Z	200	added ('OK')	text/css	etag:%22275c4-5ba0e1281fd2a-gzip%22	http://192.168.0.92/wp-content/themes/mesmerize/style.min.css?ver=1.6.105	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/themes/mesmerize/style.min7403.css	(from http://192.168.0.92/)
19:47:38	1703/1703	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d7317333c258c08177750245a280b6b8-gzip%22	http://192.168.0.92/index.php/feed/	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/feed/index.html	(from http://192.168.0.92/)
19:47:38	103256/103256	---M-Z	200	added ('OK')	text/css	etag:%2219358-5ba0e1188b8a9-gzip%22	http://192.168.0.92/wp-content/themes/mesmerize/assets/css/theme.bundle.min.css?ver=1.6.105	D:/proretia.it_static/proretia.it/192.168.0.92/wp-content/themes/mesmerize/assets/css/theme.bundle.min7403.css	(from http://192.168.0.92/)
19:47:38	1658/1658	---M-Z	200	added ('OK')	application/rss+xml	etag:%2264b7178497d80dd2ff283518a50debc2-gzip%22	http://192.168.0.92/index.php/comments/feed/	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/comments/feed/index.html	(from http://192.168.0.92/)
19:47:39	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%222bd8-5b712fca92a59-gzip%22	http://192.168.0.92/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://192.168.0.92/)
19:47:39	790/790	---M-Z	200	added ('OK')	text/xml	date:Mon,%2015%20Mar%202021%2018:47:39%20GMT	http://192.168.0.92/xmlrpc.php?rsd	D:/proretia.it_static/proretia.it/192.168.0.92/xmlrpc0db0.php	(from http://192.168.0.92/)
19:47:39	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-5b712fc687813-gzip%22	http://192.168.0.92/wp-includes/wlwmanifest.xml	D:/proretia.it_static/proretia.it/192.168.0.92/wp-includes/wlwmanifest.xml	(from http://192.168.0.92/)
19:47:40	2228/2228	---M--	200	added ('OK')	application/json	date:Mon,%2015%20Mar%202021%2018:47:39%20GMT	http://192.168.0.92/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2F192.168.0.92%2F	D:/proretia.it_static/proretia.it/192.168.0.92/index.php/wp-json/oembed/1.0/embed1bcc.json	(from http://192.168.0.92/)
19:47:40	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Mar%202021%2018:47:39%20GMT	http://192.168.0.92/%22http://192.168.0.92/wp-content/themes/mesmerize/assets/images/home_page_header-3.jpg%22	D:/proretia.it_static/proretia.it/192.168.0.92/_http_/192.168.0.92/wp-content/themes/mesmerize/assets/images/home_page_header-3.jpg_	(from http://192.168.0.92/)
